con_id,con_abbr,con_name,CCF_classification,CCF_category,CORE_classification
4539ED1E,ISNN,International Symposium on Neural Networks,X,X,C
45D76B94,DIS,Designing Interactive Systems,C,9.0,B
4612EACA,ICST,"International Conference on Software Testing, Verification, and Validation",C,4.0,C
4637EEEA,STACS,Symposium on Theoretical Aspects of Computer Science,C,6.0,B
469A7426,LATA,Language and Automata Theory and Applications,X,X,C
46CDFBC4,DAC,Design Automation Conference,B,1.0,A
475887BB,ENTER,Information and Communication Technologies in Tourism,X,X,C
42B837D2,CEAS,Conference on Email and Anti-Spam,X,X,B
435D23B8,SODA,Symposium on Discrete Algorithms,B,6.0,A*
438FC436,ICDCIT,International Conference on Distributed Computing and Internet Technology,X,X,C
44CCF851,DAS,Document Analysis Systems,X,X,B
44DA6608,RuleML,Rules and Rule Markup Languages for the Semantic Web,X,X,B
4549948F,CAV,Computer Aided Verification,B,6.0,A*
47188EEA,CRiSIS,Conference on Risks and Security of Internet and Systems,X,X,C
475B8292,PACCS,"Pacific-Asia Conference on Circuits, Communications and Systems",X,X,L
47A17F8A,C5,"Conference on Creating, Connecting and Collaborating through Computing",X,X,C
47A7A7E0,ISMAR,International Symposium on Mixed and Augmented Reality,C,7.0,A*
43584039,EGPGV,Eurographics Workshop on Parallel Graphics and Visualization,X,X,B
43CD1EFB,ADBIS,Advances in Databases and Information Systems,X,X,B
43F41A29,PODC,Principles of Distributed Computing,B,1.0,A*
43FD6777,ISMB,Intelligent Systems in Molecular Biology,B,10.0,A
44F1BEFF,IAAI,Innovative Applications of Artificial Intelligence,X,X,B
45466C92,PPAM,Parallel Processing and Applied Mathematics,X,X,C
45D96940,CANS,Cryptology and Network Security,X,X,B
460D43CF,CISS,Conference on Information Sciences and Systems,X,X,C
4665AEAE,FSKD,Fuzzy Systems and Knowledge Discovery,X,X,C
469BDC4B,MobiSys,"International Conference on Mobile Systems, Applications, and Services",B,2.0,B
46C698EA,DocEng,Document Engineering,X,X,B
4708B833,IPDPS,International Parallel and Distributed Processing Symposium,B,1.0,A
4714F2C6,ICAIS,International Conference on Adaptive and Intelligent Systems,X,X,C
42F91B89,MMM,Conference on Multimedia Modeling,C,7.0,C
4309C535,ICWSM,International Conference on Weblogs and Social Media,X,X,Unranked
43F539F1,ArtsIT,Arts and Technology,X,X,C
452BB0BA,ProvSec,Provable Security,X,X,B
4542EB6A,CCC,Conference on Computational Complexity,B,6.0,A
45462B39,EMSOFT,Embedded Software,B,10.0,A
4673EE2C,ICECCS,International Conference on Engineering of Complex Computer Systems,C,4.0,A
468C0299,ICONIP,International Conference on Neural Information Processing,C,8.0,A
46D76472,ISM,International Symposium on Multimedia,X,X,C
47796128,CIBCB,Computational Intelligence in Bioinformatics and Computational Biology,X,X,C
47796128,CIBCB,Computational Intelligence in Bioinformatics and Computational Biology,X,X,C
43701CEE,GLOBECOM,Global Communications Conference,C,2.0,B
43837677,SGP,Symposium on Geometry Processing,B,7.0,B
443F9CFF,VR,IEEE Virtual Reality Conference,X,X,A
4492538C,NSS,Network and System Security,X,X,B
44B587D1,ISITA,International Symposium on Information Theory and its Applications,X,X,B
44C78644,IPCCC,"International Performance, Computing, and Communications Conference",C,2.0,B
456FEF09,LREC,Language Resources and Evaluation,X,X,C
45C0AEF7,ICDSC,International Conference on Distributed Smart Cameras,X,X,B
46F58A2E,MIR,Multimedia Information Retrieval,X,X,B
47B86F47,ICDS,International Conference on the Digital Society,X,X,C
42BD758D,CAINE,Computer Applications in Industry and Engineering,X,X,C
42F4F2CC,MOBICOM,ACM/IEEE International Conference on Mobile Computing and Networking,A,2.0,A*
439E313A,CADE,Conference on Automated Deduction,B,6.0,A
43C40A80,COCOON,Computing and Combinatorics Conference,X,X,A
43F44683,APWeb,Asia-Pacific Web Conference,C,5.0,B
457DC158,CIC,Color Imaging Conference,X,X,C
45848F1A,UIST,User Interface Software and Technology,B,9.0,A
458DD1E0,ICIG,International Conference on Image and Graphics,X,X,C
45F753AE,HASE,High-Assurance Systems Engineering,X,X,B
47B178E5,ISAS,International Service Availability Symposium,X,X,C
431CE69C,ISCIS,International Symposium on Computer and Information Sciences,X,X,C
43727C0E,ICANNGA,International Conference on Adaptive and Natural Computing Algorithms,X,X,C
43904F00,WSCG,International Conference in Central Europe on Computer Graphics and Visualization,X,X,B
