aff_id,aff_name,country
08463906,ural state university,Russia
0854B8AB,ruag,Switzerland
085FBC83,community college of allegheny county,United States
0869A988,maharaja institute of technology coimbatore,
088001DA,pacific northwest national laboratory,United States
08940E95,army institute of technology pune,
089C15F3,human genome sequencing center,
089C18EF,anglo american platinum,
08B16C21,universidad autonoma de chiriqui,
08B1D143,atlas group,
08B80BA6,aluminum corporation of china limited,China
08B9B046,centre for social studies,France
08C58C93,university college utrecht,Netherlands
08CC7B86,a o smith water products company,
08DA35C5,the cyprus institute,Cyprus
08E3A733,guiyang medical university,China
08E3C707,deccan college of medical sciences,India
08F793AA,shikoku university,Japan
08FA558A,boston university school of medicine,United States
090336EF,agharkar research institute,India
09120BF6,mobil producing nigeria,Nigeria
09299093,university of ottawa,Canada
092AE4EB,shanghai business school,China
092BA5C8,vitebsk state technological university,Belarus
0936CD92,lexmark,United States
09396FDF,ministry of science and innovation,
093B0B5A,national taiwan university of science and technology,Taiwan
0942200A,sun yat sen university of medical sciences,
094552D5,college of saint elizabeth,United States
0946AF68,pedagogical university,Russia
094DB5D4,university of california merced,United States
094F0BA3,georgetown university school of medicine,United States
09668689,prince henry s institute of medical research,
0966B229,university of illinois at urbana champaign,United States
0969AEF1,ritsumeikan asia pacific university,Japan
099188F9,organon international,
0997A8BB,jangipur college,
099E55CD,universiti malaysia sabah,Malaysia
09A40D75,brazilian development bank,Brazil
09AFE24C,wufeng university,Taiwan
09BB9974,textile conservation centre,France
09CF3D26,world conservation monitoring centre,United Kingdom
09D39614,manipal university,India
09D74BDC,new college london,United Kingdom
09DDBC07,royal college of art,United Kingdom
09E0E324,university of georgia,Georgia
09E1394E,geoscience research institute,
09EB15AA,national university of cordoba,
09ED8579,novus international,
09EFA0CC,openeye scientific software,
09FFB116,institute of chemical technology,India
0A06A78A,venice international university,Italy
0A0C91D7,kumamoto health science university,Japan
0A110C3E,begum rokeya university,Bangladesh
0A2171DF,degroote school of business,
0A3C3443,genome research foundation,South Korea
0A5E31AE,huntsman marine science centre,Canada
0A63A69C,calumet college of st joseph,
0A831A60,university institute of engineering and technology panjab university,India
0A8BCC5A,northern states power company,
0A93E042,university of west london,United Kingdom
0AA56EE7,national taitung university,Taiwan
0AA5E825,illumina,United States
0AAC3D22,st vincent palloti college of engineering and technology,
0AC57173,university of pennsylvania school of nursing,United States
0ACBE4F9,university of the west,United Kingdom
0AEBCB82,institut charles sadron,France
0AF2FF24,institute for manufacturing,Germany
0AFB9192,estonian information technology college,Estonia
0AFFE339,south australian sports institute,Australia
0B0B6F33,norsk hydro,Norway
0B1C77FD,oklahoma baptist university,United States
0B2CA896,saint louis university madrid campus,
0B31025D,national institute of technology jamshedpur,India
0B416A20,otago polytechnic,New Zealand
0B466737,nationsuniversity,United States
0B4803CE,university of alcala,
0B7138DD,national taipei university of nursing and health science,Taiwan
0B75AB3B,dorset wildlife trust,United Kingdom
0B76E754,polytechnic institute of viana do castelo,Portugal
0B7E7318,lucile packard foundation for children s health,
0B829115,berklee college of music,United States
0B9350CF,ecole hoteliere de lausanne,
0B9E1F34,safege,
0BC5BB67,sumitomo heavy industries,Japan
0BDA90EA,golestan university,Iran
0BF6845B,tajik academy of sciences,
0C02756D,university of atacama,Chile
0C11F0D3,singapore polytechnic,Singapore
0C1FC484,university of durban westville,
0C344A72,bristol community college,United States
0C3F4607,great lakes chemical corporation,
0C5875EF,new mexico institute of mining and technology,United States
0C5E9E10,al aqsa university,
0C6395A0,saskatchewan research council,Canada
0D07725A,cachar college,
0D77ABF5,universal forest products,
0D8D52CF,odesa national academy of food technologies,
0DCD12B0,north eastern indira gandhi regional institute of health and medical sciences,India
0E534B3E,royal dick school of veterinary studies,
0E9E8E20,raytheon polar services company,
0EDE70CE,sdg group,
0F2798ED,world phenomenology institute,United States
0F2DBE45,international city county management association,
0F509EC6,western wyoming community college,United States
1073CA75,international union of nutritional sciences,
109D4B3A,multani mal modi college,
10BE2DF5,etas group,
10C559B6,national wilms tumor study group,
10FB642B,mkwawa university college of education,
1192A4B0,salym petroleum development,
11F63102,gurucharan college,
12245373,centro universitario curitiba,
1288988C,krylov state research center,Russia
12A51720,sussex county community college,United States
12A62621,osaka kawasaki rehabilitation university,Japan
12EA7AEC,osaka city university,Japan
12F0D16F,university of bohol,Philippines
131D6333,judson university,United States
14305B6C,environment agency wales,
1467083C,swansea business school,United Kingdom
146EAA3B,university of maryland college of agriculture and natural resources,United States
15F1728F,cabot oil gas,
1E43999D,medical university pleven,Bulgaria
219D3B9B,ge energy infrastructure,
2A19D0D4,motion theory,
33B648D5,gm canada,Canada
33E43273,life insurance corporation of india,India
33F88597,metabolix,United States
34893715,peruvian navy,Peru
349DDE90,indian institute of space science and technology,India
34EB752C,national research nuclear university mephi,
34EEC8EC,mine safety appliances,United States
34EEDC87,west visayas state university,Philippines
352D3779,intec inc,
353925C7,hutchinson sa,
354C9BF4,st lawrence college ontario,Canada
35679E8D,dragon school,
3573E400,health management associates,
35AD7ABC,gay lesbian and straight education network,
35B3B1F7,cork college of commerce,Ireland
35F3F377,eastern university,United States
360C57AA,biotime,United States
362313B5,vpi industries,
36237E71,coordinadora mercantil s a,
36261C9A,brighton collectibles,
363F03A8,manheim auctions,
369A0E67,debre markos university,Ethiopia
36DBEA2C,university of puerto rico at carolina,Puerto Rico
36DE7C59,sea containers,
36EEDA18,rutherford college kent,United Kingdom
3721F56B,fsp group,
3767AE84,amperex electronic,
378F92AB,american world university,United States
3790D794,shanmugha arts science technology research academy,Myanmar
4C4AEF32,mind science foundation,United States
4C57CD82,federal statistical office,Switzerland
